username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
SenatorHick,2023-03-16 01:03:33+00:00,6,Election/debate,0.66393346,neutral,0.6679328680038452,joy,0.5061666965484619,5.0,Border/community/family,0.2110142,We’re live! Tune in to our virtual Town Hall NOW! 👇 https://t.co/HAoqg40L7j,live tune virtual town hall,"[('town', [6, 5]), ('tune', [6, 5]), ('live', [6, 5]), ('hall', [6, 5]), ('virtual', [5])]","[('town', ['Election/debate', 'Border/community/family']), ('tune', ['Election/debate', 'Border/community/family']), ('live', ['Election/debate', 'Border/community/family']), ('hall', ['Election/debate', 'Border/community/family']), ('virtual', ['Border/community/family'])]"
dscc,2023-03-16 02:36:09+00:00,6,Election/debate,0.797697,neutral,0.5568111538887024,fear,0.7320274710655212,7.0,Abortion/rights/guns,0.13400781,"RT @leading Playbook this AM: Senate Republicans already worrying about their primaries and ""candidate quality"" problems this cycle across the map. #PASEN #WISEN #AZSEN #MTSEN https://t.co/CEMObgKhCr",playbook senate republican worrying primary candidate quality problem cycle map,"[('problem', [6, 7]), ('republican', [6, 7]), ('candidate', [6]), ('cycle', [6, 7]), ('senate', [6, 7]), ('playbook', [6]), ('primary', [6]), ('map', [6, 7]), ('quality', [6]), ('worrying', [7])]","[('problem', ['Election/debate', 'Abortion/rights/guns']), ('republican', ['Election/debate', 'Abortion/rights/guns']), ('candidate', ['Election/debate']), ('cycle', ['Election/debate', 'Abortion/rights/guns']), ('senate', ['Election/debate', 'Abortion/rights/guns']), ('playbook', ['Election/debate']), ('primary', ['Election/debate']), ('map', ['Election/debate', 'Abortion/rights/guns']), ('quality', ['Election/debate']), ('worrying', ['Abortion/rights/guns'])]"
jonathanvswan,2023-03-16 02:39:48+00:00,6,Election/debate,0.64861715,neutral,0.913159966468811,anticipation,0.6139618754386902,5.0,Border/community/family,0.24379519,Why Barney Frank Went to Work for Signature Bank https://t.co/eiy8a0nWeU via @NewYorker,barney frank went work signature bank,"[('bank', [6]), ('went', [6, 5]), ('work', [6, 5]), ('signature', [5]), ('frank', [6]), ('barney', [6])]","[('bank', ['Election/debate']), ('went', ['Election/debate', 'Border/community/family']), ('work', ['Election/debate', 'Border/community/family']), ('signature', ['Border/community/family']), ('frank', ['Election/debate']), ('barney', ['Election/debate'])]"
NateSilver538,2023-03-16 03:35:56+00:00,6,Election/debate,0.80842507,positive,0.5266066193580627,anticipation,0.4171198010444641,2.0,War,0.08382248,"At this point in 2015, Bush was polling at 10-15% in the polling average. DeSantis is at more like 30%. It's a reasonably big difference. He also was just reelected whereas Jeb! was a decade+ out from his last reelection in 2015. Far more signs of having traction with voters.",point bush polling polling average desantis like reasonably big difference reelected jeb decade reelection far sign having traction voter,"[('decade', [6, 8]), ('like', [6, 2]), ('point', [6, 2]), ('far', [6, 2]), ('desantis', [6]), ('difference', [6, 8]), ('big', [6, 8]), ('average', [6]), ('sign', [6]), ('having', [6, 8]), ('polling', [6]), ('reelection', [6]), ('voter', [6]), ('reelected', [6]), ('reasonably', [8]), ('bush', [6, 2]), ('traction', [6]), ('jeb', [2])]","[('decade', ['Election/debate', 'Infrastructure/job/energy']), ('like', ['Election/debate', 'War']), ('point', ['Election/debate', 'War']), ('far', ['Election/debate', 'War']), ('desantis', ['Election/debate']), ('difference', ['Election/debate', 'Infrastructure/job/energy']), ('big', ['Election/debate', 'Infrastructure/job/energy']), ('average', ['Election/debate']), ('sign', ['Election/debate']), ('having', ['Election/debate', 'Infrastructure/job/energy']), ('polling', ['Election/debate']), ('reelection', ['Election/debate']), ('voter', ['Election/debate']), ('reelected', ['Election/debate']), ('reasonably', ['Infrastructure/job/energy']), ('bush', ['Election/debate', 'War']), ('traction', ['Election/debate']), ('jeb', ['War'])]"
Redistrict,2023-03-16 04:32:25+00:00,6,Election/debate,0.29143834,neutral,0.5475582480430603,anticipation,0.7153549194335938,1.0,American/economics/health,0.2820474,"Ogles only took 55.8% of the vote in 2022 and #TN05 is steadily trending left, so not inconceivable this could turn into a political headache for Rs.",ogles took vote steadily trending left inconceivable turn political headache ,"[('political', [6, 2]), ('vote', [6, 2]), ('left', [2, 6]), ('took', [1, 6]), ('turn', [6, 2]), ('trending', [4, 1]), ('steadily', [1]), ('inconceivable', [2, 6]), ('ogles', [2]), ('headache', [6])]","[('political', ['Election/debate', 'War']), ('vote', ['Election/debate', 'War']), ('left', ['War', 'Election/debate']), ('took', ['American/economics/health', 'Election/debate']), ('turn', ['Election/debate', 'War']), ('trending', ['Republicans vs democrats', 'American/economics/health']), ('steadily', ['American/economics/health']), ('inconceivable', ['War', 'Election/debate']), ('ogles', ['War']), ('headache', ['Election/debate'])]"
RepSherrill,2023-03-16 15:10:11+00:00,6,Election/debate,0.5280655,neutral,0.9245006442070008,anticipation,0.7799772024154663,1.0,American/economics/health,0.35559908,Representatives from the Taxpayer Advocate Service and the NJ Division of Taxation will give brief presentations before answering questions from residents. Click here to register for the webinar: https://t.co/BGCbKjsdXy,representative taxpayer advocate service  division taxation brief presentation answering question resident click register webinar,"[('taxpayer', [1]), ('question', [6, 1]), ('division', [6]), ('service', [1]), ('resident', [6, 1]), ('representative', [6, 1]), ('advocate', [1]), ('register', [6]), ('brief', [6, 1]), ('click', [6, 1]), ('answering', [6]), ('taxation', [3]), ('presentation', [1]), ('webinar', [6])]","[('taxpayer', ['American/economics/health']), ('question', ['Election/debate', 'American/economics/health']), ('division', ['Election/debate']), ('service', ['American/economics/health']), ('resident', ['Election/debate', 'American/economics/health']), ('representative', ['Election/debate', 'American/economics/health']), ('advocate', ['American/economics/health']), ('register', ['Election/debate']), ('brief', ['Election/debate', 'American/economics/health']), ('click', ['Election/debate', 'American/economics/health']), ('answering', ['Election/debate']), ('taxation', ['News/radio/livestream']), ('presentation', ['American/economics/health']), ('webinar', ['Election/debate'])]"
laurenboebert,2023-03-16 15:49:02+00:00,6,Election/debate,0.51778674,negative,0.8820751905441284,anger,0.7267216444015503,2.0,War,0.30789948,"The fact that supposedly serious people in San Francisco are considering a plan that would give $5,000,000 in reparations to every Black resident in their city in a state that never had slavery is a joke. If they want to make the racial divide in this country worse than ever before, they’ll certainly achieve that goal!",fact supposedly people san francisco considering plan reparation black resident city state slavery joke want racial divide country worse certainly achieve goal,"[('state', [6, 2]), ('people', [2, 6]), ('black', [2, 6]), ('fact', [2, 6]), ('considering', [6, 7]), ('country', [2, 6]), ('joke', [2, 6]), ('city', [6, 2]), ('resident', [6]), ('slavery', [7]), ('want', [6, 2]), ('worse', [2]), ('plan', [6, 2]), ('san', [6]), ('divide', [2]), ('francisco', [6]), ('certainly', [2, 6]), ('supposedly', [6]), ('goal', [6, 7]), ('racial', [2, 7]), ('achieve', [6]), ('reparation', [3])]","[('state', ['Election/debate', 'War']), ('people', ['War', 'Election/debate']), ('black', ['War', 'Election/debate']), ('fact', ['War', 'Election/debate']), ('considering', ['Election/debate', 'Abortion/rights/guns']), ('country', ['War', 'Election/debate']), ('joke', ['War', 'Election/debate']), ('city', ['Election/debate', 'War']), ('resident', ['Election/debate']), ('slavery', ['Abortion/rights/guns']), ('want', ['Election/debate', 'War']), ('worse', ['War']), ('plan', ['Election/debate', 'War']), ('san', ['Election/debate']), ('divide', ['War']), ('francisco', ['Election/debate']), ('certainly', ['War', 'Election/debate']), ('supposedly', ['Election/debate']), ('goal', ['Election/debate', 'Abortion/rights/guns']), ('racial', ['War', 'Abortion/rights/guns']), ('achieve', ['Election/debate']), ('reparation', ['News/radio/livestream'])]"
CookPolitical,2023-03-16 16:09:20+00:00,6,Election/debate,0.47723767,neutral,0.7555783987045288,anticipation,0.6052720546722412,4.0,Republicans vs democrats,0.4091849,"Over the last few weeks, @amyewalter has been talking with strategists on both sides who have conducted deep dives into Dobbs's role in 2022 and how it could play out in 2024. What are the big takeaways? Read her latest column: https://t.co/jUzArv02y6",week talking strategist side conducted deep dive dobbs  role play big takeaway read latest column,"[('conducted', [4]), ('week', [6, 4]), ('side', [4, 6]), ('read', [6, 4]), ('big', [6, 4]), ('latest', [6, 4]), ('talking', [6, 4]), ('role', [4, 6]), ('deep', [6, 4]), ('play', [6, 4]), ('strategist', [4]), ('takeaway', [4]), ('dobbs', [7]), ('column', [6]), ('dive', [6])]","[('conducted', ['Republicans vs democrats']), ('week', ['Election/debate', 'Republicans vs democrats']), ('side', ['Republicans vs democrats', 'Election/debate']), ('read', ['Election/debate', 'Republicans vs democrats']), ('big', ['Election/debate', 'Republicans vs democrats']), ('latest', ['Election/debate', 'Republicans vs democrats']), ('talking', ['Election/debate', 'Republicans vs democrats']), ('role', ['Republicans vs democrats', 'Election/debate']), ('deep', ['Election/debate', 'Republicans vs democrats']), ('play', ['Election/debate', 'Republicans vs democrats']), ('strategist', ['Republicans vs democrats']), ('takeaway', ['Republicans vs democrats']), ('dobbs', ['Abortion/rights/guns']), ('column', ['Election/debate']), ('dive', ['Election/debate'])]"
RyanBinkley,2023-03-16 16:33:02+00:00,6,Election/debate,0.3897197,positive,0.9708420038223268,joy,0.8873869180679321,4.0,Republicans vs democrats,0.2959094,"I love when someone like Payton attends a @GenerationalGrp Growth &amp; Exit Strategy Conference and leaves knowing more at the end of the day than they did at the start. 🧠 Want to know why 100,000+ business owners have attended our conferences? Visit https://t.co/EXMbtTOZ2p https://t.co/OKWRtlHnh8",love like payton attends growth exit strategy conference leaf knowing end day start want know business owner attended conference visit,"[('know', [4, 6]), ('day', [6, 4]), ('like', [6, 4]), ('start', [6, 4]), ('conference', [6, 4]), ('love', [6, 2]), ('end', [6, 4]), ('want', [6, 4]), ('business', [8, 4]), ('strategy', [6, 4]), ('owner', [8, 4]), ('visit', [6, 8]), ('knowing', [4]), ('attended', [6, 4]), ('growth', [8]), ('leaf', [4]), ('exit', [6]), ('attends', [2]), ('payton', [6, 4])]","[('know', ['Republicans vs democrats', 'Election/debate']), ('day', ['Election/debate', 'Republicans vs democrats']), ('like', ['Election/debate', 'Republicans vs democrats']), ('start', ['Election/debate', 'Republicans vs democrats']), ('conference', ['Election/debate', 'Republicans vs democrats']), ('love', ['Election/debate', 'War']), ('end', ['Election/debate', 'Republicans vs democrats']), ('want', ['Election/debate', 'Republicans vs democrats']), ('business', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('strategy', ['Election/debate', 'Republicans vs democrats']), ('owner', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('visit', ['Election/debate', 'Infrastructure/job/energy']), ('knowing', ['Republicans vs democrats']), ('attended', ['Election/debate', 'Republicans vs democrats']), ('growth', ['Infrastructure/job/energy']), ('leaf', ['Republicans vs democrats']), ('exit', ['Election/debate']), ('attends', ['War']), ('payton', ['Election/debate', 'Republicans vs democrats'])]"
RepSlotkin,2023-03-16 16:33:57+00:00,6,Election/debate,0.4906919,neutral,0.8762601017951965,anticipation,0.5515042543411255,5.0,Border/community/family,0.36420968,"Yesterday afternoon, 31 days after the mass shooting at MSU, I held a listening session with students to hear from them directly and take questions about where we go from here. https://t.co/nwWF436YPi",yesterday afternoon day mass shooting msu held listening session student hear directly question,"[('day', [5, 6]), ('question', [6, 5]), ('yesterday', [5, 6]), ('student', [5, 6]), ('held', [6, 5]), ('hear', [6, 5]), ('mass', [5]), ('directly', [6, 5]), ('shooting', [5]), ('session', [6]), ('listening', [6]), ('afternoon', [6, 5]), ('msu', [7])]","[('day', ['Border/community/family', 'Election/debate']), ('question', ['Election/debate', 'Border/community/family']), ('yesterday', ['Border/community/family', 'Election/debate']), ('student', ['Border/community/family', 'Election/debate']), ('held', ['Election/debate', 'Border/community/family']), ('hear', ['Election/debate', 'Border/community/family']), ('mass', ['Border/community/family']), ('directly', ['Election/debate', 'Border/community/family']), ('shooting', ['Border/community/family']), ('session', ['Election/debate']), ('listening', ['Election/debate']), ('afternoon', ['Election/debate', 'Border/community/family']), ('msu', ['Abortion/rights/guns'])]"
